,1.0,2.0,3.0,4.0,5.0
Call  Failure,8.0,0.0,10.0,10.0,3.0
Complains,0.0,0.0,0.0,0.0,0.0
Subscription  Length,38.0,39.0,37.0,38.0,38.0
Charge  Amount,0.0,0.0,0.0,0.0,0.0
Seconds of Use,4370.0,318.0,2453.0,4198.0,2393.0
Frequency of use,71.0,5.0,60.0,66.0,58.0
Frequency of SMS,5.0,7.0,359.0,1.0,2.0
Distinct Called Numbers,17.0,4.0,24.0,35.0,33.0
Age Group,3.0,2.0,3.0,1.0,1.0
Tariff Plan,1.0,1.0,1.0,1.0,1.0
Status,1.0,2.0,1.0,1.0,1.0
Churn,0.0,0.0,0.0,0.0,0.0
Customer Value,132.6,17.46,181.29,252.48,144.78
