,,,,Train,Train,Test,Test
,,,,Score,Errors,Score,Errors
Kernel,C,Gamma/Degree,Dataset Type,,,,
Linear,0.1,N/A,Original,0.8996,253,0.8825,74
Linear,0.1,N/A,Standardized,0.898,257,0.8857,72
Linear,0.1,N/A,Normalized,0.8468,386,0.827,109
Linear,0.1,N/A,Standardized and Normalized,0.8976,258,0.8841,73
Linear,1.0,N/A,Original,0.9107,225,0.9016,62
Linear,1.0,N/A,Standardized,0.898,257,0.8857,72
Linear,1.0,N/A,Normalized,0.8468,386,0.827,109
Linear,1.0,N/A,Standardized and Normalized,0.898,257,0.8857,72
Linear,10.0,N/A,Original,0.9052,239,0.8952,66
Linear,10.0,N/A,Standardized,0.898,257,0.8857,72
Linear,10.0,N/A,Normalized,0.8504,377,0.8381,102
Linear,10.0,N/A,Standardized and Normalized,0.898,257,0.8857,72
Polynomial,0.1,2,Original,0.8468,386,0.827,109
Polynomial,0.1,2,Standardized,0.9036,243,0.8889,70
Polynomial,0.1,2,Normalized,0.8468,386,0.827,109
Polynomial,0.1,2,Standardized and Normalized,0.9016,248,0.8889,70
Polynomial,0.1,3,Original,0.8468,386,0.827,109
Polynomial,0.1,3,Standardized,0.9036,243,0.8889,70
Polynomial,0.1,3,Normalized,0.8468,386,0.827,109
Polynomial,0.1,3,Standardized and Normalized,0.902,247,0.8889,70
Polynomial,0.1,4,Original,0.8468,386,0.827,109
Polynomial,0.1,4,Standardized,0.9048,240,0.8889,70
Polynomial,0.1,4,Normalized,0.8468,386,0.827,109
Polynomial,0.1,4,Standardized and Normalized,0.9016,248,0.8889,70
Polynomial,1.0,2,Original,0.8468,386,0.827,109
Polynomial,1.0,2,Standardized,0.9036,243,0.8889,70
Polynomial,1.0,2,Normalized,0.8468,386,0.827,109
Polynomial,1.0,2,Standardized and Normalized,0.9032,244,0.8889,70
Polynomial,1.0,3,Original,0.8468,386,0.827,109
Polynomial,1.0,3,Standardized,0.9329,169,0.9095,57
Polynomial,1.0,3,Normalized,0.8512,375,0.8381,102
Polynomial,1.0,3,Standardized and Normalized,0.9377,157,0.9238,48
Polynomial,1.0,4,Original,0.8468,386,0.827,109
Polynomial,1.0,4,Standardized,0.9401,151,0.919,51
Polynomial,1.0,4,Normalized,0.8544,367,0.8476,96
Polynomial,1.0,4,Standardized and Normalized,0.9417,147,0.9238,48
Polynomial,10.0,2,Original,0.8468,386,0.827,109
Polynomial,10.0,2,Standardized,0.9321,171,0.9143,54
Polynomial,10.0,2,Normalized,0.8552,365,0.8492,95
Polynomial,10.0,2,Standardized and Normalized,0.9345,165,0.9286,45
Polynomial,10.0,3,Original,0.8468,386,0.827,109
Polynomial,10.0,3,Standardized,0.9532,118,0.9317,43
Polynomial,10.0,3,Normalized,0.8556,364,0.8524,93
Polynomial,10.0,3,Standardized and Normalized,0.9627,94,0.9413,37
Polynomial,10.0,4,Original,0.8468,386,0.827,109
Polynomial,10.0,4,Standardized,0.9512,123,0.9349,41
Polynomial,10.0,4,Normalized,0.856,363,0.8508,94
Polynomial,10.0,4,Standardized and Normalized,0.9655,87,0.9476,33
RBF,0.1,scale,Original,0.8468,386,0.827,109
RBF,0.1,scale,Standardized,0.9016,248,0.8889,70
RBF,0.1,scale,Normalized,0.8468,386,0.827,109
RBF,0.1,scale,Standardized and Normalized,0.9036,243,0.8889,70
RBF,0.1,auto,Original,0.8468,386,0.827,109
RBF,0.1,auto,Standardized,0.9016,248,0.8889,70
RBF,0.1,auto,Normalized,0.8468,386,0.827,109
RBF,0.1,auto,Standardized and Normalized,0.9036,243,0.8889,70
RBF,1.0,scale,Original,0.8468,386,0.827,109
RBF,1.0,scale,Standardized,0.931,174,0.9095,57
RBF,1.0,scale,Normalized,0.8468,386,0.827,109
RBF,1.0,scale,Standardized and Normalized,0.9298,177,0.9111,56
RBF,1.0,auto,Original,0.9873,32,0.8667,84
RBF,1.0,auto,Standardized,0.931,174,0.9095,57
RBF,1.0,auto,Normalized,0.8468,386,0.827,109
RBF,1.0,auto,Standardized and Normalized,0.9024,246,0.8873,71
RBF,10.0,scale,Original,0.8468,386,0.827,109
RBF,10.0,scale,Standardized,0.9579,106,0.9381,39
RBF,10.0,scale,Normalized,0.8556,364,0.8492,95
RBF,10.0,scale,Standardized and Normalized,0.9631,93,0.9413,37
RBF,10.0,auto,Original,0.9905,24,0.8714,81
RBF,10.0,auto,Standardized,0.9579,106,0.9381,39
RBF,10.0,auto,Normalized,0.8468,386,0.827,109
RBF,10.0,auto,Standardized and Normalized,0.9032,244,0.8889,70
